id,target_company,acquirer,sector,subsector,geography,announcement_date,deal_value_musd,revenue_musd,ebitda_musd,ev_revenue_multiple,ev_ebitda_multiple,buyer_type,deal_type,target_description,rationale,source_quality_score,confidence_score
100,Beacon Analytics,Lattice Global,Software,Vertical SaaS,United Kingdom,2024-01-16,4194.1,489.0,185.7,8.78,18.09,Corporate,Take-private,Beacon Analytics is a fictional vertical saas company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.84,0.7
101,Elm Clinics,Meridian Financial Group,Healthcare Services,Behavioral Health,North America,2024-01-28,3472.3,801.9,222.3,4.27,14.55,Strategic,Carve-out,Elm Clinics is a fictional behavioral health company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.94,0.77
102,Orion Products,Founder Consortium,Consumer,Outdoor Goods,United Kingdom,2024-02-10,172.2,62.6,14.6,1.45,15.54,Other,Platform,Orion Products is a fictional outdoor goods company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.71,0.86
103,Drift Manufacturing,BlueRiver Industrials,Industrials,Specialty Manufacturing,Western Europe,2024-02-13,237.7,110.4,17.2,2.62,13.74,Strategic,Platform,Drift Manufacturing is a fictional specialty manufacturing company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.74,0.85
104,Umbra Risk,Pacific Consolidated,Financial Services,Insurance Brokerage,North America,2024-03-11,,635.2,198.9,,,Corporate,Growth recapitalization,Umbra Risk is a fictional insurance brokerage company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.94,0.64
105,Terra Services,Ironcrest Partners,Business Services,BPO,United Kingdom,2024-03-14,1179.1,401.5,84.2,2.93,16.48,Sponsor,Carve-out,Terra Services is a fictional bpo company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.63,0.75
106,Beacon Solar,Hudson Vale Capital,Energy Transition,Grid Software,APAC,2024-03-21,1979.6,530.2,,4.49,,Sponsor,Platform,Beacon Solar is a fictional grid software company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.7,0.89
107,Juniper Network,EverBloom Consumer Health,Media & Entertainment,Creator Tools,United Kingdom,2024-03-27,623.4,243.0,35.8,2.85,16.07,Strategic,Carve-out,Juniper Network is a fictional creator tools company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.75,0.71
108,Juniper Training,Westlake Sponsor Group,Education,EdTech,APAC,2024-04-30,3415.2,840.8,142.8,4.86,17.56,Sponsor,Platform,Juniper Training is a fictional edtech company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.81,0.76
109,Forge Life,BrightPath Learning,Beauty & Wellness,Personal Care Brands,Nordics,2024-05-04,529.5,194.2,42.1,2.04,15.5,Strategic,Add-on,Forge Life is a fictional personal care brands company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.78,0.66
110,Prairie Cloud,Keystone Operating Company,Software,FinTech Software,Latin America,2024-05-22,167.6,45.9,10.6,4.54,15.94,Corporate,Add-on,Prairie Cloud is a fictional fintech software company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.77,0.89
111,Umbra Medical,Redwood Harbor Capital,Healthcare Services,Revenue Cycle,North America,2024-05-24,2706.0,742.8,196.9,2.77,15.5,Sponsor,Platform,Umbra Medical is a fictional revenue cycle company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.92,0.89
112,Noble Foods,Redwood Harbor Capital,Consumer,Outdoor Goods,Western Europe,2024-06-07,,339.8,44.9,,,Sponsor,Merger,Noble Foods is a fictional outdoor goods company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.71,0.66
113,Juniper Automation,EverBloom Consumer Health,Industrials,Specialty Manufacturing,North America,2024-06-22,1312.7,606.1,70.8,3.49,11.55,Strategic,Merger,Juniper Automation is a fictional specialty manufacturing company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.83,0.89
114,Lumen Risk,HarborPoint Brands,Financial Services,Payments,North America,2024-07-03,1540.8,456.5,107.0,3.33,14.01,Strategic,Add-on,Lumen Risk is a fictional payments company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.9,0.75
115,Ivy Partners,Mariner Growth Partners,Business Services,Human Capital,Western Europe,2024-07-05,403.5,179.1,35.0,2.01,10.88,Sponsor,Platform,Ivy Partners is a fictional human capital company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.71,0.75
116,Orion Renewables,Longview Legacy Partners,Energy Transition,Solar Services,North America,2024-07-06,1398.8,,,,,Family Office,Platform,Orion Renewables is a fictional solar services company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.73,0.94
117,Juniper Interactive,Management Investor Group,Media & Entertainment,Sports Media,Western Europe,2024-08-07,2137.6,849.6,141.6,2.88,15.39,Other,Add-on,Juniper Interactive is a fictional sports media company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.75,0.93
118,Quartz Training,Summit Media Network,Education,Test Prep,United Kingdom,2024-08-19,2326.3,718.3,184.1,3.33,12.02,Strategic,Add-on,Quartz Training is a fictional test prep company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.74,0.77
119,Quartz Life,Ironcrest Partners,Beauty & Wellness,Skincare,North America,2024-08-14,2461.9,655.5,136.3,4.42,15.78,Sponsor,Merger,Quartz Life is a fictional skincare company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.81,0.92
120,Umbra Analytics,Management Investor Group,Software,Vertical SaaS,APAC,2024-09-10,187.4,33.2,6.9,10.14,13.92,Other,Merger,Umbra Analytics is a fictional vertical saas company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.63,0.82
121,Elm Medical,BrightPath Learning,Healthcare Services,Revenue Cycle,North America,2024-09-20,790.8,253.8,70.2,1.41,15.51,Strategic,Platform,Elm Medical is a fictional revenue cycle company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.91,0.73
122,Elm Foods,VoltEdge Energy,Consumer,Specialty Retail,North America,2024-09-22,1423.5,492.4,117.5,2.0,13.47,Strategic,Add-on,Elm Foods is a fictional specialty retail company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.85,0.87
123,Vector Manufacturing,Redwood Harbor Capital,Industrials,Automation,North America,2024-10-09,1876.7,,127.3,,9.88,Sponsor,Merger,Vector Manufacturing is a fictional automation company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.94,0.83
124,Quartz Capital Services,Crescent Business Solutions,Financial Services,Insurance Brokerage,North America,2024-09-30,3858.8,,217.4,,15.41,Strategic,Growth recapitalization,Quartz Capital Services is a fictional insurance brokerage company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.9,0.87
125,Beacon Group,Ironcrest Partners,Business Services,Facility Services,Nordics,2024-10-12,205.3,108.3,16.5,1.48,14.08,Sponsor,Add-on,Beacon Group is a fictional facility services company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.75,0.95
126,Kite Mobility,EverBloom Consumer Health,Energy Transition,Battery Services,North America,2024-11-12,1026.9,340.4,78.7,3.78,13.05,Strategic,Platform,Kite Mobility is a fictional battery services company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.96,0.79
127,Terra Studios,Northstar Health Group,Media & Entertainment,Creator Tools,North America,2024-11-07,995.2,382.3,68.5,4.22,10.06,Strategic,Add-on,Terra Studios is a fictional creator tools company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.88,0.82
128,Kite Skills,Stonebridge Equity,Education,EdTech,North America,2024-12-04,716.9,341.0,45.1,3.0,13.71,Sponsor,Add-on,Kite Skills is a fictional edtech company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.83,0.7
129,Noble Beauty,Apex Systems Holdings,Beauty & Wellness,Medical Spa,North America,2024-12-06,1039.3,301.1,69.7,4.76,11.41,Strategic,Merger,Noble Beauty is a fictional medical spa company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.79,0.7
130,Elm Logic,Search Fund Partners,Software,FinTech Software,Western Europe,2024-12-28,3973.4,599.3,166.7,9.65,16.27,Other,Add-on,Elm Logic is a fictional fintech software company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.96,0.79
131,Aster Partners,Mariner Growth Partners,Healthcare Services,Behavioral Health,North America,2025-01-07,323.7,84.8,21.7,4.47,15.41,Sponsor,Merger,Aster Partners is a fictional behavioral health company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.83,0.82
132,Noble Products,Ironcrest Partners,Consumer,Specialty Retail,Latin America,2025-01-18,2024.9,764.1,133.8,3.61,8.96,Sponsor,Growth recapitalization,Noble Products is a fictional specialty retail company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.97,0.75
133,Lumen Controls,Northstar Health Group,Industrials,Testing & Inspection,North America,2025-01-15,581.7,210.5,45.2,2.96,13.79,Strategic,Merger,Lumen Controls is a fictional testing & inspection company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.66,0.78
134,Yardley Advisors,HarborPoint Brands,Financial Services,Insurance Brokerage,Nordics,2025-01-29,890.2,284.4,68.8,3.05,13.35,Strategic,Platform,Yardley Advisors is a fictional insurance brokerage company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.85,0.86
135,Elm Partners,Juniper Family Capital,Business Services,IT Services,North America,2025-02-14,423.3,171.4,24.4,3.12,15.8,Family Office,Carve-out,Elm Partners is a fictional it services company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.78,0.78
136,Aster Mobility,Pacific Consolidated,Energy Transition,Solar Services,Western Europe,2025-02-17,1783.9,646.4,153.5,2.32,11.41,Corporate,Carve-out,Aster Mobility is a fictional solar services company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.84,0.83
137,Umbra Media,Westlake Sponsor Group,Media & Entertainment,Creator Tools,North America,2025-03-11,832.2,169.8,33.6,5.77,20.23,Sponsor,Platform,Umbra Media is a fictional creator tools company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.77,0.69
138,Noble Learning,Westlake Sponsor Group,Education,Test Prep,APAC,2025-03-23,1835.1,469.7,120.8,6.05,10.77,Sponsor,Merger,Noble Learning is a fictional test prep company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.67,0.91
139,Drift Aesthetics,Westlake Sponsor Group,Beauty & Wellness,Personal Care Brands,Western Europe,2025-03-27,1980.3,,115.1,,13.66,Sponsor,Platform,Drift Aesthetics is a fictional personal care brands company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.82,0.89
140,Juniper Cloud,Cobalt Peak Partners,Software,FinTech Software,United Kingdom,2025-04-12,1186.3,,40.8,,19.39,Sponsor,Carve-out,Juniper Cloud is a fictional fintech software company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.73,0.97
141,Kite Health,Northstar Health Group,Healthcare Services,Revenue Cycle,Western Europe,2025-04-19,2200.1,739.3,102.6,4.53,10.18,Strategic,Growth recapitalization,Kite Health is a fictional revenue cycle company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.91,0.83
142,Lumen Brands,BrightPath Learning,Consumer,Household Products,Latin America,2025-04-21,672.9,294.0,58.4,2.29,9.87,Strategic,Take-private,Lumen Brands is a fictional household products company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.87,0.68
143,Beacon Manufacturing,Pacific Consolidated,Industrials,Engineered Components,Western Europe,2025-05-21,1430.4,721.4,,1.58,,Corporate,Add-on,Beacon Manufacturing is a fictional engineered components company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.78,0.8
144,Prairie Payments,Northstar Health Group,Financial Services,Compliance Tech,North America,2025-05-31,4451.2,827.1,226.9,5.58,16.65,Strategic,Add-on,Prairie Payments is a fictional compliance tech company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.82,0.8
145,Helio Services,Briar Hall Holdings,Business Services,Consulting,APAC,2025-05-20,289.4,109.9,,2.78,,Family Office,Add-on,Helio Services is a fictional consulting company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.65,0.76
146,Granite Renewables,Stonebridge Equity,Energy Transition,Solar Services,North America,2025-05-31,1510.2,353.8,,6.55,,Sponsor,Growth recapitalization,Granite Renewables is a fictional solar services company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.62,0.75
147,Helio Media,Evergreen Holding Co.,Media & Entertainment,Digital Media,North America,2025-07-02,318.9,136.6,13.8,3.66,16.74,Other,Carve-out,Helio Media is a fictional digital media company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.78,0.88
148,Mosaic Learning,Sage Rock Holdings,Education,EdTech,North America,2025-06-27,316.6,99.3,12.5,5.21,13.51,Family Office,Carve-out,Mosaic Learning is a fictional edtech company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.9,0.87
149,Beacon Spa Group,EverBloom Consumer Health,Beauty & Wellness,Fitness,North America,2025-07-18,675.9,183.1,34.9,4.18,14.95,Strategic,Merger,Beacon Spa Group is a fictional fitness company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.98,0.95
150,Helio Labs,Redwood Harbor Capital,Software,Cybersecurity,Western Europe,2025-07-24,3155.8,477.1,,8.92,,Sponsor,Carve-out,Helio Labs is a fictional cybersecurity company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.77,0.77
151,Drift Care,Stonebridge Equity,Healthcare Services,Dental Services,North America,2025-08-01,316.2,96.7,12.8,4.95,18.29,Sponsor,Add-on,Drift Care is a fictional dental services company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.64,0.67
152,Terra Products,EverBloom Consumer Health,Consumer,Specialty Retail,Western Europe,2025-08-23,169.8,73.2,,3.69,,Strategic,Take-private,Terra Products is a fictional specialty retail company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.68,0.68
153,Beacon Automation,Atlas Enterprise Group,Industrials,Packaging,North America,2025-09-08,1608.0,767.7,120.5,2.54,12.51,Corporate,Take-private,Beacon Automation is a fictional packaging company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.75,0.72
154,Lumen Capital Services,Briar Hall Holdings,Financial Services,Insurance Brokerage,Nordics,2025-09-02,2095.7,636.9,102.2,6.42,9.11,Family Office,Growth recapitalization,Lumen Capital Services is a fictional insurance brokerage company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.7,0.72
155,Beacon Group,Northstar Health Group,Business Services,Consulting,Nordics,2025-09-24,1051.5,334.4,63.6,4.25,9.72,Strategic,Add-on,Beacon Group is a fictional consulting company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.82,0.64
156,Terra Grid,Meridian Financial Group,Energy Transition,EV Infrastructure,North America,2025-10-10,2408.0,539.9,96.6,5.84,15.85,Strategic,Add-on,Terra Grid is a fictional ev infrastructure company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.81,0.85
157,Ridge Network,Management Investor Group,Media & Entertainment,Digital Media,North America,2025-10-22,2106.0,568.3,128.3,5.4,10.07,Other,Merger,Ridge Network is a fictional digital media company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.87,0.76
158,Cedar Skills,Stonebridge Equity,Education,Workforce Training,North America,2025-10-29,2211.8,702.0,85.6,4.34,13.17,Sponsor,Add-on,Cedar Skills is a fictional workforce training company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.96,0.68
159,Ridge Aesthetics,Northstar Health Group,Beauty & Wellness,Personal Care Brands,Nordics,2025-10-25,839.7,397.5,70.2,1.9,11.63,Strategic,Add-on,Ridge Aesthetics is a fictional personal care brands company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.7,0.92
160,Juniper Logic,BlueRiver Industrials,Software,Cybersecurity,North America,2025-11-11,1897.3,353.7,67.1,7.35,24.07,Strategic,Platform,Juniper Logic is a fictional cybersecurity company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.66,0.66
161,Noble Partners,VoltEdge Energy,Healthcare Services,Behavioral Health,Nordics,2025-11-22,1804.4,,159.9,,13.5,Strategic,Platform,Noble Partners is a fictional behavioral health company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.66,0.95
162,Willow Brands,EverBloom Consumer Health,Consumer,Food & Beverage,Western Europe,2025-12-05,1124.6,703.4,109.2,1.3,13.46,Strategic,Carve-out,Willow Brands is a fictional food & beverage company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.8,0.93
163,Ridge Automation,Meridian Financial Group,Industrials,Testing & Inspection,Western Europe,2025-12-15,402.7,140.8,19.4,4.05,12.52,Strategic,Growth recapitalization,Ridge Automation is a fictional testing & inspection company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.95,0.81
164,Drift Financial,Apex Systems Holdings,Financial Services,Specialty Lending,North America,2025-12-24,2131.5,518.8,85.7,6.17,11.53,Strategic,Carve-out,Drift Financial is a fictional specialty lending company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.81,0.9
165,Terra Group,Pacific Consolidated,Business Services,Facility Services,APAC,2026-01-12,2363.0,723.8,167.7,2.49,14.87,Corporate,Platform,Terra Group is a fictional facility services company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.96,0.83
166,Elm Grid,Evergreen Holding Co.,Energy Transition,Efficiency Services,North America,2026-01-22,644.9,282.0,,2.56,,Other,Platform,Elm Grid is a fictional efficiency services company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.64,0.69
167,Mosaic Interactive,Lattice Global,Media & Entertainment,Sports Media,United Kingdom,2026-01-27,3007.7,817.6,122.5,6.63,13.17,Corporate,Platform,Mosaic Interactive is a fictional sports media company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.7,0.83
168,Kite Training,Mariner Growth Partners,Education,EdTech,North America,2026-01-31,597.0,174.1,19.2,5.08,14.44,Sponsor,Carve-out,Kite Training is a fictional edtech company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.67,0.89
169,Yardley Wellness,Ironcrest Partners,Beauty & Wellness,Skincare,North America,2026-02-12,2747.5,550.9,,5.06,,Sponsor,Growth recapitalization,Yardley Wellness is a fictional skincare company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.64,0.78
170,Quartz Cloud,Evergreen Holding Co.,Software,FinTech Software,Nordics,2026-03-05,5661.2,752.8,188.4,8.23,24.19,Other,Platform,Quartz Cloud is a fictional fintech software company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.73,0.95
171,Yardley Health,Redwood Harbor Capital,Healthcare Services,Specialty Physician,Western Europe,2026-03-06,,629.7,130.7,,,Sponsor,Add-on,Yardley Health is a fictional specialty physician company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.66,0.71
172,Noble Products,Mariner Growth Partners,Consumer,Pet Products,Western Europe,2026-03-28,455.4,259.4,34.6,1.41,13.5,Sponsor,Platform,Noble Products is a fictional pet products company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.68,0.74
173,Kite Manufacturing,Cobalt Peak Partners,Industrials,Automation,North America,2026-03-28,2071.0,673.2,118.4,4.18,11.32,Sponsor,Add-on,Kite Manufacturing is a fictional automation company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.7,0.73
174,Yardley Risk,Northstar Health Group,Financial Services,Insurance Brokerage,Western Europe,2026-03-28,2455.7,,176.3,,15.81,Strategic,Add-on,Yardley Risk is a fictional insurance brokerage company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.65,0.94
175,Elm Partners,Stonebridge Equity,Business Services,Facility Services,North America,2026-03-28,2312.6,808.3,,4.51,,Sponsor,Take-private,Elm Partners is a fictional facility services company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.92,0.73
176,Lumen Mobility,BrightPath Learning,Energy Transition,Solar Services,North America,2026-03-28,2236.4,481.8,118.3,5.48,20.66,Strategic,Carve-out,Lumen Mobility is a fictional solar services company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.95,0.83
177,Granite Interactive,Lattice Global,Media & Entertainment,Digital Media,North America,2026-03-28,2540.1,749.6,99.1,5.15,15.05,Corporate,Merger,Granite Interactive is a fictional digital media company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.87,0.66
178,Terra Education,Longview Legacy Partners,Education,Test Prep,Nordics,2026-03-28,1154.7,305.7,72.5,3.19,15.66,Family Office,Add-on,Terra Education is a fictional test prep company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.84,0.67
179,Drift Spa Group,VoltEdge Energy,Beauty & Wellness,Wellness Services,North America,2026-03-28,1124.9,,90.8,,9.28,Strategic,Platform,Drift Spa Group is a fictional wellness services company serving middle-market customers.,Accelerates entry into a higher-growth subsector with attractive margin expansion potential.,0.92,0.72
180,Cedar Logic,Crescent Business Solutions,Software,FinTech Software,Latin America,2026-03-28,1401.5,191.7,48.6,9.06,18.36,Strategic,Add-on,Cedar Logic is a fictional fintech software company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.74,0.92
